,News,Links,MainLink
0,"India plans air bubbles with five neighbours, Pakistan not among them
Reference: Hindustan Times
Updated: 3 hours ago
",https://news.google.com/articles/CAIiEBTIow56B4CSPI0aks2i9zgqFggEKg4IACoGCAoww7k_MMevCDDpywE?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/topics/CAAqBwgKMLuAmAswnaqvAw?hl=en-IN&gl=IN&ceid=IN%3Aen
1,"Explained: As travel restrictions ease, who can fly abroad, and where?
Reference: The Indian Express
Updated: 5 hours ago
",https://news.google.com/articles/CAIiEC18GrYx8rafvrYG92Pmt1YqGAgEKg8IACoHCAow3rvTBDD89X4wwLbmBQ?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/topics/CAAqBwgKMLuAmAswnaqvAw?hl=en-IN&gl=IN&ceid=IN%3Aen
2,"Hong Kong bans Air India flights for two weeks
Reference: Times of India
Updated: 5 hours ago
",https://news.google.com/articles/CAIiENwg73sb-NHabjJlW9Q3ad4qGQgEKhAIACoHCAowzrL9CjDC7vQCMJCT1wU?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/topics/CAAqBwgKMLuAmAswnaqvAw?hl=en-IN&gl=IN&ceid=IN%3Aen
3,"Coronavirus LIVE Updates: Kolkata Airport to Start Out-bound Flights to 6 Covid-19 Hotspots; DMK Opposes Reopening of Liquor Outlets in Chennai
Reference: News18
Updated: Yesterday
",https://news.google.com/articles/CAIiEN6nzjnVX17Gf4PGUfWcXQEqGQgEKhAIACoHCAow5qqNCzD4q58DMJahzgY?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/topics/CAAqBwgKMLuAmAswnaqvAw?hl=en-IN&gl=IN&ceid=IN%3Aen
