,News,Links,MainLink
0,"Congress MLA admitted to Bengaluru hospital after testing positive for COVID-19
Reference: The New Indian Express
Updated: 3 hours ago
",https://news.google.com/articles/CBMimgFodHRwczovL3d3dy5uZXdpbmRpYW5leHByZXNzLmNvbS9jaXRpZXMvYmVuZ2FsdXJ1LzIwMjAvYXVnLzE4L2NvbmdyZXNzLW1sYS1hZG1pdHRlZC10by1iZW5nYWx1cnUtaG9zcGl0YWwtYWZ0ZXItdGVzdGluZy1wb3NpdGl2ZS1mb3ItY292aWQtMTktMjE4NTA4Ny5odG1s0gGZAWh0dHBzOi8vd3d3Lm5ld2luZGlhbmV4cHJlc3MuY29tL2NpdGllcy9iZW5nYWx1cnUvMjAyMC9hdWcvMTgvY29uZ3Jlc3MtbWxhLWFkbWl0dGVkLXRvLWJlbmdhbHVydS1ob3NwaXRhbC1hZnRlci10ZXN0aW5nLXBvc2l0aXZlLWZvci1jb3ZpZC0xOS0yMTg1MDg3LmFtcA?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/topics/CAAqBwgKMMqAmAsw9KmvAw/sections/CAQiWkNCQVNQUW9KTDIwdk1ERmpjSGw1RWdWbGJpMUhRaUlMQ0F3NkJ3b0ZiRzlqWVd3cUhBb2FDaFpNVDBOQlRGOU9SVmRUWDBWWVVFeEJUa0ZVU1U5T0lBRW9BQSoqCAAqJggKIiBDQkFTRWdvSkwyMHZNREZqY0hsNUVnVmxiaTFIUWlnQVABUAE?hl=en-IN&gl=IN&ceid=IN%3Aen
1,"Karnataka in grave trouble
Reference: Bangalore Mirror
Updated: 15 hours ago
",https://news.google.com/articles/CAIiEC5qRj52Id9F4Xt6WcYqvMYqGQgEKhAIACoHCAow3tr9CjCP1_UCMN-G1wU?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/topics/CAAqBwgKMMqAmAsw9KmvAw/sections/CAQiWkNCQVNQUW9KTDIwdk1ERmpjSGw1RWdWbGJpMUhRaUlMQ0F3NkJ3b0ZiRzlqWVd3cUhBb2FDaFpNVDBOQlRGOU9SVmRUWDBWWVVFeEJUa0ZVU1U5T0lBRW9BQSoqCAAqJggKIiBDQkFTRWdvSkwyMHZNREZqY0hsNUVnVmxiaTFIUWlnQVABUAE?hl=en-IN&gl=IN&ceid=IN%3Aen
2,"Bengaluru: BBMP officials easing curbs for coronavirus patients for a price
Reference: Times of India
Updated: 15 hours ago
",https://news.google.com/articles/CAIiEIROrKktD-PSIPevWzhU2YwqGQgEKhAIACoHCAowzrL9CjDC7vQCMKCT1wU?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/topics/CAAqBwgKMMqAmAsw9KmvAw/sections/CAQiWkNCQVNQUW9KTDIwdk1ERmpjSGw1RWdWbGJpMUhRaUlMQ0F3NkJ3b0ZiRzlqWVd3cUhBb2FDaFpNVDBOQlRGOU9SVmRUWDBWWVVFeEJUa0ZVU1U5T0lBRW9BQSoqCAAqJggKIiBDQkFTRWdvSkwyMHZNREZqY0hsNUVnVmxiaTFIUWlnQVABUAE?hl=en-IN&gl=IN&ceid=IN%3Aen
3,"Bengaluru's Covid-19 sealing procedures modified after outcry
Reference: Deccan Herald
Updated: 20 hours ago
",https://news.google.com/articles/CAIiEFHF55NUSrmuPjj_v6fFqc0qMwgEKioIACIQjry_YPDACxKLbeLPU-ztoCoUCAoiEI68v2DwwAsSi23iz1Ps7aAwxvrCBg?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/topics/CAAqBwgKMMqAmAsw9KmvAw/sections/CAQiWkNCQVNQUW9KTDIwdk1ERmpjSGw1RWdWbGJpMUhRaUlMQ0F3NkJ3b0ZiRzlqWVd3cUhBb2FDaFpNVDBOQlRGOU9SVmRUWDBWWVVFeEJUa0ZVU1U5T0lBRW9BQSoqCAAqJggKIiBDQkFTRWdvSkwyMHZNREZqY0hsNUVnVmxiaTFIUWlnQVABUAE?hl=en-IN&gl=IN&ceid=IN%3Aen
